edge_id,start_coord,end_coord,osm_osmid,osm_highway,osm_name,osm_oneway,osm_reversed,osm_length,osm_geometry,inferred_length,inferred_length_source,inferred_width,inferred_width_source,inferred_curb_norm,inferred_curb_source,inferred_crossing,inferred_crossing_source,inferred_path_type,inferred_path_type_source,osm_maxspeed,osm_bridge,osm_lanes,osm_tunnel,osm_est_width,osm_width,osm_service,osm_access,osm_ref
3,"(0.5670979472063867, 0.38900653817761577)","(0.6476053777770898, 0.42752340303301667)",23289374,pedestrian,Jonas Daniël Meijerplein,False,True,89.76123611400294,"LINESTRING (629775.7272690808 5803568.082330766, 629753.4330998296 5803552.704173515, 629737.4577635434 5803543.391049914, 629701.1609906534 5803531.728617869, 629695.2574207843 5803529.547617271)",89.76123611400294,OSM:length,1.2,Inferred:highway=pedestrian (typical sidewalk width),-0.04,Inferred:highway=pedestrian (sidewalks typically lowered),0,Default: no crossing indicators found,0,OSM:highway=pedestrian (walk_lane),,,,,,,,,
6,"(0.6476053777770898, 0.42752340303301667)","(0.6851699032948474, 0.4666679617030815)",23289375,residential,Nieuwe Herengracht,False,False,54.258776970856545,"LINESTRING (629775.7272690808 5803568.082330766, 629777.2958749621 5803569.826431792, 629785.9335102048 5803578.122723406, 629807.3177711315 5803602.424884859, 629813.2742588222 5803607.245028948)",54.258776970856545,OSM:length,1.0,Default:highway=residential (fallback width),-0.04,Default:highway=residential (pedestrian paths default lowered),0,Default: no crossing indicators found,0,Default:highway=residential (walk_lane fallback),30,,,,,,,,
10,"(0.5220262479311988, 0.49293117071777576)","(0.6476053777770898, 0.42752340303301667)",113952975,pedestrian,Jonas Daniël Meijerplein,False,True,141.23753420197798,"LINESTRING (629775.7272690808 5803568.082330766, 629661.1099141028 5803626.929703365, 629650.2067617653 5803633.520408283)",141.23753420197798,OSM:length,1.2,Inferred:highway=pedestrian (typical sidewalk width),-0.04,Inferred:highway=pedestrian (sidewalks typically lowered),0,Default: no crossing indicators found,0,OSM:highway=pedestrian (walk_lane),,,,,,,,,
927,"(0.5728264504377224, 0.5258932831333981)","(0.6851699032948474, 0.4666679617030815)",451443671,footway,Muiderstraat,False,True,126.65763921826684,,126.65763921826684,OSM:length,1.2,Inferred:highway=footway (typical sidewalk width),-0.04,Inferred:highway=footway (sidewalks typically lowered),0,Default: no crossing indicators found,0,OSM:highway=footway (walk_lane),,,,,,,,,
282,"(0.6851699032948474, 0.4666679617030815)","(0.7003278124430476, 0.48862553421961913)",23289375,residential,Nieuwe Herengracht,False,False,26.897617569034402,"LINESTRING (629813.2742588222 5803607.245028948, 629817.561853158 5803612.833608745, 629821.2388311363 5803617.293178622, 629823.2981736225 5803620.318957311, 629827.2103125725 5803625.419093934, 629828.1769314145 5803627.514602478, 629828.4250919938 5803629.212776561)",26.897617569034402,OSM:length,1.0,Default:highway=residential (fallback width),-0.04,Default:highway=residential (pedestrian paths default lowered),0,Default: no crossing indicators found,0,Default:highway=residential (walk_lane fallback),30,,,,,,,,
847,"(0.6851699032948474, 0.4666679617030815)","(0.720817916981492, 0.44748371770531103)","[976110212, 976110213, 976110215]",footway,,False,False,40.60321114755344,"LINESTRING (629813.2742588222 5803607.245028948, 629829.2943795095 5803600.377810418, 629838.9850463095 5803595.602955962, 629848.9056313937 5803588.051895009)",40.60321114755344,OSM:length,1.2,Inferred:highway=footway (typical sidewalk width),-0.04,Inferred:highway=footway (sidewalks typically lowered),0,Default: no crossing indicators found,0,OSM:highway=footway (walk_lane),,yes,,,,,,,
814,"(0.5220262479311988, 0.49293117071777576)","(0.5453504806295126, 0.507883611360591)",113952977,footway,Meester Visserplein,False,False,27.63494508435882,,27.63494508435882,OSM:length,1.2,Inferred:highway=footway (typical sidewalk width),-0.04,Inferred:highway=footway (sidewalks typically lowered),0,Default: no crossing indicators found,0,OSM:highway=footway (walk_lane),,,,,,,,,
820,"(0.5155892910354669, 0.48839011913761476)","(0.5220262479311988, 0.49293117071777576)",113951848,footway,,False,True,7.860128985102442,"LINESTRING (629650.2067617653 5803633.520408283, 629648.7132372077 5803632.546235663, 629643.7728097534 5803628.977252388)",7.860128985102442,OSM:length,1.2,Inferred:highway=footway (typical sidewalk width),-0.04,Inferred:highway=footway (sidewalks typically lowered),0,Default: no crossing indicators found,0,OSM:highway=footway (walk_lane),,,,,,,,,
13,"(0.18433975217673376, 0.5193891269389065)","(0.2346124751166353, 0.591912864018968)",229374482,pedestrian,Zwanenburgwal,False,True,91.21335821363573,"LINESTRING (629312.6779039629 5803659.9906250695, 629317.9567999697 5803659.238936413, 629325.0032863333 5803670.297141219, 629362.927158718 5803732.547969508)",91.21335821363573,OSM:length,1.2,Inferred:highway=pedestrian (typical sidewalk width),-0.04,Inferred:highway=pedestrian (sidewalks typically lowered),0,Default: no crossing indicators found,0,OSM:highway=pedestrian (walk_lane),,,,,,,,,
766,"(0.2346124751166353, 0.591912864018968)","(0.27820148077555107, 0.5640348124618194)",93480219,footway,Lange Houtgang,False,False,51.61587753313572,"LINESTRING (629362.927158718 5803732.547969508, 629364.5416684386 5803731.51086468, 629365.0615875436 5803731.168393371, 629394.7792515539 5803712.150586795, 629406.495816268 5803704.656999316)",51.61587753313572,OSM:length,1.2,Inferred:highway=footway (typical sidewalk width),-0.04,Inferred:highway=footway (sidewalks typically lowered),0,Default: no crossing indicators found,0,OSM:highway=footway (walk_lane),,,,,,,,,
